text	label
风袅危樯浪拍船	2
何事庵中著光禄	3
晓进龙床喜称身	4
努力南行少惆怅	2
谁知憔悴客天涯	1
邻曲都无步往踪	3
雅歌姝舞兴何穷	5
宁无花解怨生寒	2
故人追送尚殷勤	4
云梦泽南君子泉	3
识字用心苦	2
衣上尘痕拂渐难	2
长安城里谁相识	3
枯槁形骸惟见耳	1
何用悠悠身后名	3
老懒何心更出嬉	4
谁道村郊野味侵	3
共祝黄华酒	4
流滞江边鬓已霜	2
杖屦清晨往	3
杖头无阿堵	3
如何销得凄凉思	2
太傅品胡儿	3
且看桃花好面皮	4
世乱须知惜俸钱	2
肯说铃声替戾冈	3
草芽绿甚却成黄	4
李白已亡工部死	2
愁眉相似不同心	2
物换星移几度秋	2
双鬟嬉戏我庭除	4
百僚何日更朝天	1
夜雪模糊照酒阑	2
往往湖中石	3
茅檐还听雨声眠	3
昨日登班缀柏台	3
月中时污太清来	4
厌苦终朝鼓吹喧	2
虽无鼓吹相欢娱	3
一杯冷落凭谁劝	2
如何犹自是闲人	2
春意萌于肃杀中	2
及身未见乾嘉盛	2
不入朝廷鸳鹭侣	5
若为閒暇得游嬉	4
若言琴上有琴声	3
谁令天作海门山	3
国事皆须救未然	3
昨日送船多战死	3
上有高公下慕容	3
那堪病更忧	2
眼中独许我同参	4
宰公心印佛心慈	4
收拾蔷薇一片春	4
老随千骑赴毗陵	3
寄与风流旧使君	2
一联轻甲流尘积	2
半夜无人独凭栏	2
止应博得佳人笑	3
奇观人间不作双	4
悦亲端的在诚身	3
寰海欢心共萌达	5
一宿西林便却回	3
更筹促曙躔	3
绿叶成阴子满枝	4
北砦教回挝鼓远	3
定子初开睡脸新	4
深坐颦蛾眉	2
不问两歧何许秀	3
夜长曲尽意不尽	3
地高阁迥宜闲望	4
忍令无罪充庖宰	2
废塘尚有数荷开	4
傅岩岩下筑岩翁	3
尽管诸军破贼年	4
封留便约赤松去	3
龙船看罢日平西	3
抚州城外黄泥路	3
凄风苦雨总堪伤	4
酒肉淋漓岂本心	3
一叶舟中载病身	1
蹙操惟消两少年	2
独上闲城却下迟	2
亭亭花木恰相宜	4
田水今年一尺宽	4
说露谈风有典章	3
晚好诗骚学道疏	2
新贵纷纷竞著鞭	3
莫为无车马	3
龙荒夜半起悲风	1
日落烟岩空	3
未歌先泪垂	2
龟趺但见碑讹缺	3
满山桂子月中秋	3
一行征雁海山头	2
君庵偏爱雨	3
老树婆娑三百尺	3
际日浮空涨海流	3
肩舆九步十倾欹	3
黄花也似知人意	5
谢成宗祏奉斋牷	4
为伴行吟瘦屈原	2
步占若上清台去	3
一夜雪声欺布被	2
逆胡万里跨燕秦	2
吴王池馆遍重城	3
双手丫叉出迎客	3
江上蓼花红似血	3
岁晚还吟止酒篇	3
虎穴连里闾	2
好把丹心悬北阙	3
青春引杖藜	3
地炉煨酒煖如汤	4
积水中间旧滑台	3
中原多少堪忧事	2
啼莺唤梦几时应	3
不是愁人亦合愁	2
生来原弱质	2
扑屋阴风雪作团	2
鸟声催报已知春	5
少时已叹少欢娱	4
为问少年心在否	2
不奈归心日日归	2
客去知公醉欲眠	3
谁言苏白名相似	3
今年见说也无锥	3
它日只为林下计	3
道著访僧心且闲	4
酒酣斫剑气如云	4
楚江渔父惜回风	2
冷云深处宿菰芦	2
岩前抛珓问龙君	3
人能不食十二日	3
诗肠搜苦白头生	2
翻思贵室千金女	3
家住水东西	3
君王晓坐金銮殿	3
乳燕新蝉相对语	4
窈窕谁家女未笄	3
虫沙龙蜃各优游	3
青青独在阴	3
手把命圭兼相印	3
水边风日半西曛	3
微和渐扇物华姸	4
不解诗人意	2
莫忘秋水落芙蕖	4
少者游方老守闾	3
过墓胡儿下马行	5
好事久传番尔雅	3
偶看清晓双双蝶	4
超然圣寺山林外	4
翩翩今作北归鸿	2
上蔡东门去自迟	2
啜茶挥麈话松轩	4
流水孤村三两家	3
高犹在绝颠	5
想见烟眉亦解颦	1
作伪欲成真	3
少谈王霸谋身拙	3
今朝同泛旧仙舟	2
出了真阳恰惆怅	2
今日出门天地别	3
白苎歌残风欲起	3
愁云垂垂雨淫淫	1
月转勾阑啼乳鸦	4
画作皇王盛事图	5
未见高僧只见猿	2
秀岭西头凤岭东	3
嘉祐随年至	4
廿载承恩侍九重	5
桃李争春奈晚何	3
瀑水奔流欲百盘	4
晚上西楼带月看	3
白莲种山净无尘	4
勿疑汉上有题衿	3
况似青城馆里时	4
陇上犹歌七尺刀	4
一饱欣欣乐有馀	4
犹著朝衣夜入船	2
竹枝草履步苍苔	3
颓垣破屋古城边	2
槁若丛蓍未见妍	3
禁城奕烨锁祥光	5
端拱由来无一事	3
况复沦流更千里	1
支吾亦十霜	3
喜延嘉客楼同倚	5
世情嫌简不嫌虚	1
故应琴鹤是家传	3
一点一镕金在炉	3
挽郎自是白须人	1
南天风雨黯南州	2
始知墟落深	3
自笑无缘照歌舞	2
世间难得是闲人	5
野草粘天雨未休	2
何当拔去闲云雾	3
人间无处著青蛇	3
团扇经秋似败荷	2
吴州独作未归身	2
一时用舍非吾事	4
白头归拜未央宫	2
自在人间太极图	4
江上初收雨	4
迟日温风护海棠	4
立言为恐真风丧	2
扬州有鹤未能骑	2
暮生颍上还惆怅	2
白屋荒荒鬼哭悲	1
亲见含饴庆弄孙	5
后来秦汉何堪数	2
一杯才放已颓然	2
骑吏欢呼不要嗔	3
走马碧鸡坊里去	3
海云销尽金波冷	2
已有调羹一点酸	3
奉坠征衫泪一双	1
流水落花无限好	4
坐觉清寒几倍添	2
明朝方觉田文去	3
金陵王气应瑶光	3
一天明月四檐霜	3
老子平生殊不浅	3
逋客已随丹凤诏	3
自视真如不系舟	3
梦中慈母美连环	4
时见游山一两僧	3
叹息君今愿已违	1
晓鼎催煎药	3
云袖霞衣自等差	4
归时不怕江波晚	3
粟田鹑兔亦争肥	4
五日永逢佳令节	5
保守灌园人	3
莫道长安近于日	2
伴我饥肠响夜阑	2
问讯瞿昙老比丘	3
那时离别后	2
南山无树起春风	2
赐环已趣舍人装	3
野僧偶向花前定	3
做了何须死不辞	3
山移恨不磨	2
房前栽著病时看	2
学得天文夜睡迟	3
固宜慧远赋优哉	4
更劝灯前酒一卮	2
衣带宽来不自胜	2
二五时难遇	2
悲伤容或涕涟涟	1
分明博望升天诉	2
此时俱事卫将军	3
九日龙山饮	3
雪花一片落晴天	4
心若冰将释	3
出得千山与万山	5
虹收仍白雨	3
萧萧风雨到前林	2
病身谁伴亦谁怜	1
闲爱孤云静爱僧	4
民间财货虽丰富	4
浑银砌起一长城	3
今日料应花不住	2
绿叶阴阴护翠枝	3
浩荡想幽冀	3
事沿毫楮待承宣	3
可怜台上谷	3
暖日烘晴淑气嘉	4
风枥方轩举	2
仰面看云觉动摇	3
缵服忧勤未有言	3
听取当年孺子歌	3
高卧腾腾百不闻	4
云居不打这鼓笛	3
东风吹送落君怀	3
幸有于门香积供	4
插秧车水又相催	4
橙椒香美白鹅肥	4
我已沉沦鸭鸣国	3
南番笃耨香	3
一声唤我举头看	3
日落星稀河汉微	2
此院好弹秋思处	4
醉里繁华乱眼生	3
为尔来临翼轸乡	5
朱颜一笑开	4
祗应长对望夫山	3
佳泉蟹眼最知名	3
老人于此有工夫	3
切思不见我心悲	1
浮休叹柳斫为薪	2
聊向村家问风俗	3
宝索千祥镂彩云	5
不缘香火来山墅	3
打荷看急雨	3
七闽从此更无灾	4
今夜推窗月满江	3
颤脱花房闷一场	2
萧条冬令侵春晚	2
莫把胸中荆棘栽	3
淮山杨柳春千里	4
不学栽桤业种松	3
焚香闲看玉溪诗	3
此山林竹亦佳哉	5
回首墙东李亦花	4
一半分明一半忘	2
春酒相携就竹丛	4
雨洗东坡月色清	4
黄帝炼丹求子母	3
依旧衰颜似叶黄	2
付与游人自在看	4
近人浑不畏舂锄	3
千枫拥出一桐花	4
八十年间遗老尽	2
李生富汉亦贫儿	2
泛菊秋始佳	4
不烦白水真人力	3
姚师闲泪洒秋风	2
白屋想应无孺子	2
日光碎处万波来	4
困阨终身元自好	2
而女归吾喜有孙	5
银鞍万人看	4
同云欲合暮江前	3
赢得浮生避世喧	4
寒生老屋病交秋	1
我今憔悴亦羞君	2
楼殿层层佳气多	4
尽是当年发冢词	3
观阙长安近	3
西山不使伯夷清	2
更恨趋时别旧山	2
元来别有看花眼	4
水气胜风凉	4
玉镮穿耳谁家女	4
风触芳葩笑不任	4
御沟梅柳寒犹噤	3
诸侯分楚郡	3
翠辇不来知几夏	2
朱崖云梦三千里	2
犹有当年旧旗鼓	2
未夜身先卧	3
浓阴满目尽桑田	4
若占上春先秀发	5
贪看白鹭横秋浦	3
五湖浪透门前港	3
谁信从前戒律人	3
日浄山如染	3
新春剩喜在新年	5
魏塘酒贱蟹螯肥	4
搀先岐路不容差	3
皇家诜伟固藩垣	5
况复胸中别有天	4
赢得亲朋相过访	4
宜时魄再圆	4
春风次第荷纶褒	3
自应给札奏新书	3
剪韭不妨千取百	4
海北天南总是归	3
疏枝数点缀雏蜂	4
藁砧不寄大刀头	3
渔阳簇马鉴兴亡	3
子若通之可以仙	3
才不才间未必全	3
风雨梨花寒食后	2
璇魄媚方流	4
浮云已过眼	3
羣飞来往不逃它	3
也曾输与林灵素	3
行年未老发先衰	1
静无游乐事	4
天入渭阳将恋恋	2
消渴还愁骨亦消	2
家人行乐处	4
梦吞白凤以玄成	3
同为君王辖竹宫	4
破晓篙师报放船	3
更烦佳句赏高风	4
过了铁围山	3
能无理转移	3
正令无病亦无悰	3
道他滴沥浑无頼	2
不唯能饮又能文	4
含情尽日对书轩	4
收得烟蓑雨笠身	4
惠山妆成要妆镜	3
无年何日苏凋瘵	2
可惜缁尘染素衣	2
展来未读眼先昏	3
若为能见此身闲	3
丛篁老柳水天秋	4
照人心腑纾	5
恨杀桥成人已去	2
髯簿卑凡岂得书	3
垆下黄翁寝正安	3
葛巾芒屩自骑馿	3
转目已阴繁	3
病添败絮肌犹凛	2
又敦夙好拨寒灰	3
莫待藤萝满山月	3
一日看尽长安花	5
若要与花相领略	4
棋盘作十字	3
壮士逡巡野水傍	3
绮陌惜花小儿女	3
晚来风起云头散	4
远有人家在树林	3
天堕楸枰作稻畦	3
金盆香暖浴儿钱	4
猨啼鹤唳非无意	3
荒源也有沂泉乐	4
衮绣行将复	3
佳人旋贴钗头胜	4
谁能终不睡	3
看花南陌复东阡	3
不似琴书隠鹿门	2
花落春深似去年	2
幽奇无可奈	2
又看列郡献嘉禾	3
别处愁犹在	2
世间贤美宁常有	4
愁人底事最堪恨	1
遥空无碍日凄凄	2
三月尽是头白日	2
更送吾师古渡头	2
何时潴渌浄	3
不须门花实	3
真成万里不虚来	4
北斗南箕透法身	3
敢为观风惜病身	3
好与骑奴同一处	3
杨柳轻明二月风	4
美子古黄香	4
忘却人间一鼠肝	2
日向绣床添永算	5
倏忽韶光第九旬	3
回看瘴岭已无忧	4
暮云惨淡正愁侬	1
一阵秋风初过雨	3
藩篱处处蔓牵牛	3
惯下姜盐枉肺肝	2
民和神福固其宜	4
一时果遂为霖望	4
惆怅三泉驿里时	2
一壶春酒若为汤	4
良宵闲雅与诗宜	4
犹解赋豳风	3
广寒秋颖雪离披	3
溪边明月笑开颜	4
便同祥凤与祥麟	4
燕宿莺啼处处通	4
有客赏芳丛	4
柔条如线长而细	4
一川秋绿漾清晖	4
归从册府犹披卷	4
隔城犹送捣衣声	2
晴光雪色忽相逢	3
怀璧操金尽夜行	3
寒梅最堪恨	2
重阳未到菊先开	3
圆玉响中销日永	3
六月家家作半年	4
如何熊犯跸	3
他人陋巷只如愚	2
枉教喷薄困鱼龙	2
未到江南心已喜	4
北雁春归看欲尽	2
不应尽占游人赏	3
可怜才调最纵横	2
村乐殊音节	3
缉祠流声诗	4
病遇先生得内丹	4
危樯逐夜乌	2
君颜贵茂不清羸	4
不复饶君雪里开	4
老子旁观袖手閒	4
翠竹苍梧趣正宜	4
贡入南州瑞木新	4
何必千岩万水归	3
尽是骊山从驾人	3
归路还家已十年	3
一笛西风夜倚楼	2
千尺蟠空黛色浓	4
禁廷无事一冬閒	3
草堂犹在掩荆扉	2
先生今解世间书	3
蜀语初闻喜复惊	5
积善悬知庆有馀	5
八年尚忆钗头凤	4
乍闻笑语来天半	3
万国恩波浸太平	5
无事过南塘	3
曾见天家十八朝	3
直道忘忧也未忘	2
不见早梅花	2
雅乐伶官各擅场	4
飞萤纵复横	3
白玉盘中看却无	3
一言请削独干诛	2
爱利爱名心少閒	4
五松不见见舆薪	3
聊为拂尘看	3
城中决定少新诗	3
一寸襟灵慕昔贤	4
病戴纱巾强出门	1
背岩唯有两三枝	3
老去惟思日月迟	2
春愁如发不胜梳	2
煮瓶浮蜡正尝新	4
敢话机头织素多	2
顾我镜中悲白发	1
中华儿女多奇志	5
金陵烟草绿	3
池北池南春水生	4
只欠厌厌醉始归	2
草没苔侵弃道周	2
吾舅名亭思不羣	3
绿娇红小不胜怜	5
不道香炉更一峰	4
露欲为霜月堕烟	3
此间从古混蛇龙	3
要识关雎乐不淫	3
更看镜面渺瀰时	3
学不名家空自苦	1
身如强健日千回	5
谁折黄花寿两宫	2
欲落荷花先自愁	2
紫鳞长与海潮通	4
尔继房中诸乐府	4
七年相别复相逢	4
望春台下春先到	4
万数簪花满御街	4
绕栏今更为何人	3
今年更与酒杯亲	4
老屋疏窗窈窕深	3
白头主印青山下	3
一点寒灯老眼青	2
正北三千到锦州	3
悲虫真吊短檠光	1
鲜鲜毛羽耀朝辉	4
不关情处总伤心	2
佳节重欢娱	5
近来不得海阳书	2
南北檐楹照绿波	4
避风遮日小扶疎	3
一生爱诵石湖诗	4
岂意相逢在剡中	4
选官选佛两悠悠	3
薄倖郎如露草晞	2
功成惟欲善持盈	4
能费奔流多少力	3
话到分歧去住难	2
独自吹箫月下归	3
夜来八万四千偈	4
殿背无人緑钱满	4
烂熳红英带雨羞	4
爱莲夏方娱	4
孤舟山水雪晴时	3
一饱有期吾事了	3
衡阳回雁耳偏聪	2
秋云惜明月	4
把酒语君悲且喜	4
更泊孤舟夜雨中	2
恰似梅花结子时	3
老子堂前花万树	4
化作轻鸥度水飞	2
如今不爱好官职	3
四海峥嵘龙象众	5
丁宁海棠花	2
鼻涕垂颐病拥塞	2
穰穰正似山	4
芒鞋不踏利名场	3
二亩春秧也是归	4
不用凭阑苦回首	2
太学羣游经最明	3
为问松台千载鹤	3
夜半星辰满太虚	4
刺手朱殷鬼质青	3
去年此夕肝肠绝	1
宜入王维画里图	4
隔帘微见龙颜启	4
生定中扃转更宁	3
清梵隔寒流	4
不直人间一唾轻	2
金钗送酒看分行	3
春光唤入百花丛	4
祗今一老独深云	2
试看金翅擘沧溟	2
怪来佳客肯差池	2
山谷有灵应笑我	3
谁悞虚空作许痴	1
杖头高挂百青铜	3
奈缘多感泣春风	2
时时酌酒亦时醒	3
三十年间行万里	3
日中睡觉一颦伸	3
蓬莱殿里春开宴	4
朱绂宠光新照地	5
历览溪中有底鸣	3
且据胡床未拟回	3
杨花剩得晴方好	4
但令葵藿勤倾向	3
大招今日赋巫阳	3
笑指灰中芋栗香	4
今日同游鬓欲翁	4
落木长江感旧同	2
如今老眼应无泪	1
蹭蹬麒麟老	2
清香夹道刺桐花	4
风漾花阴聚复开	4
好风凉月满松筠	4
天地虽宽靡所容	2
从此人间乐有馀	5
遥礼青山恨不归	1
金吾宁复识谁哉	4
林下昼焚香	3
歆臣二姓廷	3
公子自贪低唱酒	3
双桐盘绕叶森森	3
云迷帝子在时居	3
汾晋地形美	4
半瓶野店沽醇碧	3
今朝偏遇醒时别	2
镜湖流水漾清波	4
不比寻常桃树李	3
圣朝不瑞闲花草	3
从祖昔为州别驾	3
更兼衣著又鹅黄	4
终日求人卜	3
只愁风日损红芳	2
青雀西飞竟未回	2
美人成列抹朱弦	4
蒌蒿满地芦芽短	4
清晓霜华漫自浓	4
红藕花开金镀杯	4
三画何人昔梦吞	3
野梅千树压疎篱	2
哭过支硎山下路	1
琵琶抱恨立黄昏	2
大斗时复酌	4
都在浄名中	3
孔孟格言如日月	3
一道帆樯画柳烟	2
饶渠学徧山禽语	3
惜不看鞭春	4
陌上初收雨后埃	3
不是雨相留	2
贪荣寿母咳兰养	5
暖风晴日值良辰	5
彭泽门前杨柳风	3
消个忠良效顺无	3
莫斗严风与恶霜	3
天上无泥奈许何	2
恋花从马滞	3
空囊短褐过年年	1
平生翁子妙谈天	3
先生散发步庭中	3
金花拆胜鲜	5
会须秋叶向人稀	2
雨歇南山积翠明	4
柑花似雪斗芳新	4
人间留得凄凉曲	2
清高宜养性	4
木犀未发芙蓉落	2
垂空青幕六	3
更于枝上散馀霞	4
自此徧人间	5
身健不妨随处醉	4
九疑望断几千载	2
坐悔容颜傲画工	2
元祐诸人次第来	3
小牕无处看春色	3
花在不成春	2
近日孙归娱膝下	4
绿树低昂朝暮风	4
风麤或捲茅	3
不才多祖楚骚辞	4
自斸苍苔换黄土	3
写得弥陀七万言	3
既有柔情慕高节	3
不用高烧银烛照	3
今犹髣髴太平时	4
无处欢娱得破颜	2
误携破砚到清都	2
便装行橐待还京	4
今日残僧无饭吃	2
为语世人休怪诧	3
谁令四月雨浪浪	3
花枝尽发凤凰台	4
鵩啸固非妖	3
春回十日梅初觉	3
荒台突兀抵高峰	3
连天华帟竦南端	3
何事还车载病身	2
见君失意我惆怅	1
梅残数点雪	3
拟延西景驻颓龄	5
未有工夫儆国人	3
緑章夜奏通明殿	3
万宇灯辉敛暗尘	4
圩上人牵水上航	3
侬爱菤葹草	3
此时对局空相忆	2
惭愧庭前并蒂花	2
霜夜羁愁更无赖	1
未履胡肠涉胡血	1
忽听疏钟知寺近	3
苗疑芦苇实疑珠	3
邻曲相过日正长	3
乘危更觉思遗迹	2
今人合笑古人拙	3
坐愁风雨苦相催	1
补漏支倾吾可笑	3
当时初入君怀袖	3
酒冷花寒无好怀	2
一径缘云入寿星	4
急须乘兴赏春英	3
百岁风前短焰灯	3
才人不偶伤鶧鹉	2
荞熟油新作饼香	4
管城还伴剡藤悲	3
似著精神染异红	4
只恐先生不赋诗	3
冶城昔是王公宅	3
潇潇风雨客心孤	2
初如废将哭穷边	2
虽拥朱幡只泽臞	3
不容一夕得安眠	1
慈恩春色今朝尽	2
风雨江头思故人	2
写字弹琴无意绪	2
归客来登至喜亭	3
西施亦解忧人国	3
升天却易到城难	1
吹落幽人紫绮冠	2
漫漫东风百草长	4
茅屋夜灯青	2
重重楼榭接花津	4
苦苦来招为醉伴	2
尽在丰年笑语中	5
忧见须眉膳却荤	3
九重丽日绕龙鳞	4
流岁暗蹉跎	2
月移花影上栏干	4
试就先生问若何	3
云愁月黑荒村冷	2
西成东作常无事	3
闭户欲推愁	2
弦管欣欣急雨中	4
不须惆怅穷途目	4
莱衣戏舞馀	4
何曾有往还	3
落花寂寂啼山鸟	2
关中遗虏要人平	3
双凤来仪拥翠微	4
不要悬黄金	3
相公喝犒是私钱	2
桐叶风翻欲夜天	3
草合断桥通暗绿	4
恶抱千端集夜深	2
御沟春水绕闲坊	3
青灯欲二更	3
联镳壕上叹风尘	2
无因寄与早朝人	3
彷佛晓钟鸣	3
忽忽叹庭槐	2
乘凌惜俄顷	3
我欲小施调燮手	3
渠独小参黄面老	3
轻薄西风未办霜	2
人道千峯多好事	4
嘉陵栈道吾能说	3
大有西来真的意	3
采得百花成蜜后	3
夕阳光景亦佳哉	4
夜分饮散酒家垆	3
